algorithm,nodes,arcs,time(s),memPeak(MB),memAvg(MB),CO2eq(kg),CO2eRate (kg/s),cpuEnergy(kW),ramEnergy(kW),totEnergy(kW),cpuCount
HPF-H-F,49544354,300838741,129.405,19597.98,17612.21,5.6e-05,2.697180684721026e-07,0.0127425805529451,0.0109275878769032,0.0236701684298484,8
HPF-H-L,49544354,300838741,106.24,19598.04,17396.15,4.6e-05,2.5148209763494184e-07,0.0097217182718128,0.0095344485493063,0.0192561668211192,8
HPF-L-F,49544354,300838741,63.227,19597.98,16698.17,3.1e-05,2.2738424473178025e-07,0.0059770009788191,0.0072350824445452,0.0132120834233644,8
HPF-L-L,49544354,300838741,44.331,19597.99,16218.57,2.7e-05,2.291902313798876e-07,0.0052328565940597,0.006225027542915,0.0114578841369747,8
HPF-H-F,3582362,27361716,2.511,1651.01,1310.32,2e-06,2.1895649708239245e-07,0.0004162585921732,0.0005488121395767,0.00096507073175,8
HPF-H-F,903962,6857076,0.524,415.47,323.5,1e-06,2.1902155992730282e-07,9.997693581481616e-05,0.0001316833204814,0.0002316602562962,8
HPF-H-L,3582362,27361716,2.37,1650.88,1306.02,2e-06,2.186742534471588e-07,0.0004070227008956,0.0005382469943997,0.0009452696952954,8
HPF-H-L,903962,6857076,0.512,415.46,323.43,1e-06,2.1898431441240266e-07,9.592449673953564e-05,0.0001263941227207,0.0002223186194603,8
HPF-L-F,3582362,27361716,4.199,1650.95,1360.62,3e-06,2.1836688780454866e-07,0.0004767550402926,0.0006325316988717,0.0011092867391643,8
HPF-L-F,903962,6857076,0.796,415.46,334.04,1e-06,2.176202939479852e-07,0.0001062955214252,0.0001421200584574,0.0002484155798827,8
HPF-L-L,3582362,27361716,2.9,1650.93,1324.38,2e-06,2.186859026888329e-07,0.0004267866297623,0.0005643131816278,0.0009910998113902,8
HPF-L-L,903962,6857076,0.658,415.45,330.16,1e-06,2.187570749214289e-07,0.0001036892398957,0.0001369603169353,0.0002406495568311,8
HPF-H-F,185944,5087270,4.776,256.11,238.85,2e-06,2.5963760602128976e-07,0.0003447933316677,0.0003177104491793,0.0006625037808471,8
HPF-H-F,185944,6364346,2.714,312.59,275.03,1e-06,2.604034872580748e-07,0.0002442395467803,0.000223774037688,0.0004680135844684,8
HPF-H-F,185944,3312418,0.835,175.22,127.87,2e-06,2.6091157550834457e-07,0.0004043286987404,0.000369095534189,0.0007734242329295,8
HPF-H-F,185938,6527854,2.616,320.3,281.12,1e-06,2.597739645757757e-07,0.0002434640117154,0.0002241017995037,0.0004675658112192,8
HPF-H-F,185944,6022322,3.498,298.45,269.45,1e-06,2.595605803878896e-07,0.0002824568798542,0.0002604100782739,0.0005428669581281,8
HPF-H-F,185944,5804998,3.048,288.87,258.44,1e-06,2.600925455666013e-07,0.0002550437507015,0.0002341923675514,0.0004892361182529,8
HPF-H-F,185944,6904190,30.909,342.03,335.39,9e-06,2.62591441670742e-07,0.0018988243085026,0.0017123795358957,0.0036112038443983,8
HPF-H-F,188321,3564218,6.793,186.51,179.92,2e-06,2.602641211421255e-07,0.000442576634061,0.0004059385848666,0.0008485152189276,8
HPF-H-F,188321,4030834,5.051,207.9,196.83,1e-06,2.0264202821193566e-07,0.0001988354382348,0.0003168737042979,0.0005157091425328,8
HPF-H-F,188321,3663790,7.625,191.21,185.02,2e-06,2.020309787097153e-07,0.0002787212638101,0.0004477085531559,0.000726429816966,8
HPF-H-F,188321,3474670,6.641,182.47,155.26,3e-06,2.0351640153667286e-07,0.0004337023244615,0.0006835838518088,0.0011172861762704,8
HPF-H-F,188319,3771804,3.393,196.14,183.3,1e-06,2.2962466579858615e-07,0.0001923769469569,0.0002278679694697,0.0004202449164267,8
HPF-H-F,188321,3664954,6.418,191.5,183.29,2e-06,2.5948735290345136e-07,0.0004231440915705,0.0003903512844477,0.0008134953760183,8
HPF-H-F,188321,3595928,6.112,188.11,180.55,2e-06,2.597614208986739e-07,0.0004014343655916,0.0003695699115016,0.0007710042770933,8
HPF-H-F,188321,3851734,7.752,199.9,192.04,2e-06,2.601621504977468e-07,0.0005055205371938,0.0004640319033325,0.0009695524405264,8
HPF-H-F,188265,3739682,4.366,194.86,183.13,1e-06,2.598579250430895e-07,0.0003049379195056,0.0002805230519007,0.0005854609714064,8
HPF-H-F,188311,4121590,4.7,212.05,199.74,1e-06,2.599955972029067e-07,0.0003279014750987,0.000301346411329,0.0006292478864277,8
HPF-H-F,188321,3473044,8.35,182.48,158.31,3e-06,2.117779440735958e-07,0.0005414994606992,0.000772693141637,0.0013141926023363,8
HPF-H-F,188321,3793452,7.545,197.14,190.37,2e-06,2.02058186428853e-07,0.0002755486279387,0.0004424560092694,0.0007180046372082,8
HPF-H-F,188321,3504376,7.389,183.98,177.84,2e-06,2.0318026625327205e-07,0.0002729251380621,0.0004319932451694,0.0007049183832316,8
HPF-H-F,188321,3738814,7.328,194.52,187.98,2e-06,2.039298207243596e-07,0.0002755652090631,0.0004320539145122,0.0007076191235753,8
HPF-H-F,188321,3480250,6.143,182.7,154.34,3e-06,2.0346213824339293e-07,0.0004167197628199,0.00065726786874,0.00107398763156,8
HPF-H-F,188321,4000072,8.486,206.7,199.75,2e-06,2.032962397079653e-07,0.0003131828391571,0.0004949906022358,0.000808173441393,8
HPF-H-F,188315,3543916,4.818,185.8,176.89,1e-06,2.0196073820993565e-07,0.0001871583144487,0.0003008755308085,0.0004880338452572,8
HPF-H-F,188321,3647188,6.682,190.39,183.44,2e-06,2.019866485865362e-07,0.0002459212828479,0.0003952412984143,0.0006411625812622,8
