implementation,nodes,arcs,time(s),memPeak(MB),memAvg(MB),CO2e(kg),CO2eRate(kg/s),cpuEnergy(kW),ramEnergy(kW),totEnergy(kW),cpuCount
BK,20242,1188372,1.08078,101.789,100.764,3.505310483700063e-05,2.8554233410686383e-05,3.85811189204258e-05,6.427604651382666e-05,0.0001028571654342,32
MBK,20242,1188372,0.835772,89.332,89.332,2.5853740362779745e-05,2.852410790352393e-05,2.8408271893265447e-05,4.745497793736462e-05,7.586324983063008e-05,32
MBK2,20242,1188372,0.541369,89.5859,89.5859,1.7402327437648146e-05,2.8708525746797457e-05,1.933422491181159e-05,3.1729841467432606e-05,5.1064066379244194e-05,32
BK,17602,1026432,0.452766,89.4102,89.4102,1.4419170477920358e-05,2.8505703372616104e-05,1.583620461339825e-05,2.6474312819186703e-05,4.231051743258496e-05,32
MBK,17602,1026432,0.339365,89.4297,89.4297,1.1617738061745755e-05,2.861974731960804e-05,1.2853489449450755e-05,2.123671771894352e-05,3.409020716839427e-05,32
BK,19186,1124028,1.24013,96.3359,95.8125,3.720562998622192e-05,2.847367161866439e-05,4.075566204894861e-05,6.841770950753983e-05,0.0001091733715564,32
MBK,19186,1124028,0.883083,89.4102,89.4102,2.8676111905602e-05,2.905627926766912e-05,3.31089537093654e-05,5.269252308343511e-05,8.580147679280051e-05,32
MBK2,19186,1124028,0.561908,89.4883,89.4883,1.73620823704844e-05,2.864234772186722e-05,1.9221852599692058e-05,3.172412171465737e-05,5.094597431434943e-05,32
BK,16418,952816,0.699968,89.5078,89.5078,2.3010245906209995e-05,2.853675638675438e-05,2.530764052387485e-05,4.22118753895802e-05,6.751951591345504e-05,32
MBK,16418,952816,0.569036,89.4297,89.4297,1.73097740586313e-05,2.8561491509818563e-05,1.9068400532486207e-05,3.172408424902784e-05,5.079248478151405e-05,32
MBK2,16418,952816,0.383441,89.6172,89.6172,1.1648031059997726e-05,2.870619160876961e-05,1.2946262857003316e-05,2.123283378201535e-05,3.4179096639018666e-05,32
MBK,20162,1184332,0.629994,89.4492,89.4492,2.015156178379654e-05,2.853713656043738e-05,2.216367411981245e-05,3.696753647602122e-05,5.913121059583367e-05,32
MBK2,20162,1184332,0.407325,89.4492,89.4492,1.4452311903961356e-05,2.853942189317112e-05,1.590936189414631e-05,2.649840321897585e-05,4.240776511312217e-05,32
BK,20738,1219576,1.25701,103.82,102.727,3.7341163493377786e-05,2.8575430488266413e-05,4.114943986397064e-05,6.842163091009752e-05,0.000109571070774,32
MBK,20738,1219576,0.987525,89.4219,89.4219,3.1560285006866146e-05,2.8520145026348445e-05,3.4673299127504706e-05,5.793480138736982e-05,9.260810051487452e-05,32
MBK2,20738,1219576,0.612949,90.3164,90.2031,2.0155657479384463e-05,2.853269615658149e-05,2.2167861900941263e-05,3.697536679259344e-05,5.91432286935347e-05,32
BK,19554,1147040,1.30317,98.0742,97.4551,4.016144036420443e-05,2.855138040706764e-05,4.4187900350291937e-05,7.365877642278633e-05,0.000117846676773,32
MBK,19554,1147040,0.899965,89.4688,89.4688,2.862573102413639e-05,2.8442024055427023e-05,3.1304995043975395e-05,5.269217340422614e-05,8.399716844820153e-05,32
MBK2,19554,1147040,0.588293,89.6367,89.6367,2.017256508291706e-05,2.857730032000119e-05,2.2239391680388063e-05,3.6953449399317154e-05,5.9192841079705217e-05,32
BK,20546,1207828,1.00021,103.238,101.998,3.146334086720314e-05,2.843767371602833e-05,3.439094417940006e-05,5.7932690823572846e-05,9.23236350029729e-05,32
MBK2,20546,1207828,0.431438,89.3672,89.3672,1.4467890225285358e-05,2.859939035491495e-05,1.5976703892464292e-05,2.647677306219265e-05,4.2453476954656944e-05,32
BK,17442,1016732,0.763262,89.5039,89.5039,2.303970487260573e-05,2.857287671758309e-05,2.5396955039769936e-05,4.220900302464941e-05,6.760595806441934e-05,32
MBK,17442,1016732,0.592338,89.4141,89.4141,2.007692822337012e-05,2.8425486155320105e-05,2.194106588617253e-05,3.697114566499949e-05,5.891221155117202e-05,32
MBK2,17442,1016732,0.366619,89.4102,89.4102,1.16682782178794e-05,2.8726787886436824e-05,1.2991462615383892e-05,2.1247045744151195e-05,3.4238508359535084e-05,32
BK,25442,1508752,2.04304,128.047,126.209,6.001278894148045e-05,2.8476858718389968e-05,6.573005119510887e-05,0.0001103669133684,0.0001760969645635,32
MBK,25442,1508752,1.32047,89.4336,89.4336,4.015270633590858e-05,2.85459647523708e-05,4.416214699635469e-05,7.365890130821811e-05,0.0001178210483045,32
MBK2,25442,1508752,0.853824,110.832,108.456,2.5920114787407623e-05,2.859805261733788e-05,2.860880566480338e-05,4.744920823041668e-05,7.605801389522007e-05,32
