implementation,nodes,arcs,time(s),memPeak(MB),memAvg(MB),CO2e(kg),CO2eRate(kg/s),cpuEnergy(kW),ramEnergy(kW),totEnergy(kW),cpuCount
BK,1118,2222,0.000209071,84.5898,84.5898,4.400768561874946e-07,4.291358115833186e-06,1.2094638413853115e-06,8.186422245235766e-08,1.291328063837669e-06,8
MBK,1118,2222,0.000122196,84.7188,84.7188,4.396010138365363e-07,4.291636987877131e-06,1.2081409494082137e-06,8.179083881733126e-08,1.2899317882255448e-06,8
MBK2,1118,2222,0.000221343,84.4609,84.4609,4.38938776509677e-07,4.291504756605861e-06,1.2063311205969918e-06,8.165744877241347e-08,1.2879885693694052e-06,8
BK,1118,2228,0.000227667,84.5938,84.5938,4.397436055808856e-07,4.291400912675214e-06,1.208540631665124e-06,8.180956693252029e-08,1.2903501985976444e-06,8
MBK,1118,2228,0.000124719,84.4766,84.4766,4.395516321009471e-07,4.291144907100799e-06,1.2080086602105036e-06,8.177822600506109e-08,1.2897868862155646e-06,8
MBK2,1118,2228,0.000210095,84.5977,84.5977,4.397917675886282e-07,4.291291816634688e-06,1.208670106199053e-06,8.18214153319256e-08,1.2904915215309783e-06,8
BK,1118,2208,0.000188184,84.7227,84.7227,4.389089932283744e-07,4.291453648443477e-06,1.206241051355998e-06,8.166012421744048e-08,1.2879011755734385e-06,8
MBK,1118,2208,0.000121976,84.5898,84.5898,4.398402021847781e-07,4.291494861075844e-06,1.2088080247243246e-06,8.182561960268231e-08,1.2906336443270069e-06,8
MBK2,1118,2208,0.000273047,84.5977,84.5977,4.397421904725507e-07,4.2913271951321104e-06,1.2085378170013428e-06,8.18082292100068e-08,1.2903460462113497e-06,8
BK,1118,2294,0.000223347,84.5938,84.5938,4.4000806489784243e-07,4.290427959161409e-06,1.2092696295844185e-06,8.185657832370909e-08,1.2911262079081276e-06,8
MBK,1118,2294,0.000130114,84.5859,84.5859,4.395605907198518e-07,4.291532031737835e-06,1.208033992184533e-06,8.177918152114217e-08,1.2898131737056752e-06,8
MBK2,1118,2294,0.000249604,84.3359,84.3359,4.401709184458621e-07,4.291237771416907e-06,1.209719975789388e-06,8.188409718684398e-08,1.2916040729762322e-06,8
BK,1118,2152,0.000207172,84.7148,84.7148,4.39824126180107e-07,4.291657477506479e-06,1.2087545461124843e-06,8.18319260088174e-08,1.290586472121302e-06,8
MBK,1118,2152,0.000113363,84.6016,84.6016,4.397568095247949e-07,4.291539753362864e-06,1.2085744076304966e-06,8.181453561614189e-08,1.2903889432466384e-06,8
MBK2,1118,2152,0.000197444,84.5859,84.5859,4.400496249336304e-07,4.291312065644024e-06,1.2093822161356609e-06,8.18659423813036e-08,1.2912481585169643e-06,8
BK,1118,2214,0.000209752,84.7227,84.7227,4.402193884058386e-07,4.291460935003737e-06,1.209852264987098e-06,8.189403455408714e-08,1.2917462995411852e-06,8
MBK,1118,2214,0.000125057,84.7227,84.7227,4.400405770257177e-07,4.29171277117303e-06,1.2093399961789449e-06,8.18816128450332e-08,1.291221609023978e-06,8
