implementation,nodes,arcs,time(s),memPeak(MB),memAvg(MB),CO2e(kg),CO2eRate(kg/s),cpuEnergy(kW),ramEnergy(kW),totEnergy(kW),cpuCount
EIBFS old,20242,1188372,0.1564,110.941,100.232,5.931553223869716e-06,2.8833646926464265e-05,6.6512267098669045e-06,1.0753872041489389e-05,1.740509875135629e-05,32
EIBFS new,20242,1188372,0.134072,94.9297,92.2734,5.901677638628312e-06,2.8684762941883205e-05,6.561301637925988e-06,1.0756132467804492e-05,1.731743410573048e-05,32
EIBFS new2,20242,1188372,0.292735,89.5508,89.5508,1.155486391306492e-05,2.845768946844136e-05,1.2662127629695095e-05,2.1243586417691065e-05,3.390571404738616e-05,32
EIBFS old,17602,1026432,0.102186,96.2422,92.9434,5.885128707668608e-06,2.8576709697353e-05,6.50348770278586e-06,1.0765386478298924e-05,1.7268874181084784e-05,32
EIBFS new,17602,1026432,0.0814303,89.625,89.625,3.071717966958941e-06,2.9052064301278e-05,3.496901408630432e-06,5.51651422356656e-06,9.013415632196993e-06,32
EIBFS new2,17602,1026432,0.143939,89.5117,89.5117,5.8692218720519945e-06,2.851221141520992e-05,6.464442393772085e-06,1.075775597841755e-05,1.7222198372189635e-05,32
EIBFS old,19186,1124028,0.166953,105.051,97.3242,5.938014212426239e-06,2.8837681626986003e-05,6.659907272365748e-06,1.0764150112524362e-05,1.7424057384890108e-05,32
EIBFS new,19186,1124028,0.144954,90.0938,89.8027,5.900873906774115e-06,2.9197035014306367e-05,6.879955226184176e-06,1.078006051653233e-05,1.7660015742716508e-05,32
EIBFS new2,19186,1124028,0.32831,89.5039,89.5039,1.1556239580841505e-05,2.846316664995916e-05,1.2662517630006656e-05,2.124723307229885e-05,3.390975070230551e-05,32
EIBFS old,16418,952816,0.123037,89.7266,89.6816,5.910115634956416e-06,2.870651450930283e-05,6.584325545233583e-06,1.0757868375306148e-05,1.734219392053973e-05,32
EIBFS new,16418,952816,0.104959,89.5469,89.5469,5.874337173987379e-06,2.851787075822009e-05,6.468799619479063e-06,1.0768408705747849e-05,1.723720832522691e-05,32
EIBFS new,20162,1184332,0.125207,94.5508,91.9805,5.879892059621351e-06,2.8563980168147527e-05,6.4924676939706605e-06,1.0761040465273196e-05,1.7253508159243856e-05,32
EIBFS new,20738,1219576,0.150516,97.3906,93.459,5.91538402020696e-06,2.8766082621442787e-05,6.6073152858465295e-06,1.0750337783770192e-05,1.735765306961672e-05,32
EIBFS new2,20738,1219576,0.366736,89.4258,89.4258,1.162918509509138e-05,2.863165153936452e-05,1.2874190577121317e-05,2.1249605895502555e-05,3.412379647262387e-05,32
