implementation,nodes,arcs,time(s),memPeak(MB),memAvg(MB),CO2e(kg),CO2eRate(kg/s),cpuEnergy(kW),ramEnergy(kW),totEnergy(kW),cpuCount
HPF-H-F,185944,5087270,4.502,256.13,238.73,0.0001646215237776,2.859753456179084e-05,0.0001815401230097,0.0003015127587241,0.0004830528817339,32
HPF-H-F,185944,6364346,2.573,312.68,273.82,0.0001164143377758,2.8642500246108552e-05,0.0001287176113073,0.0002128797694441,0.0003415973807514,32
HPF-H-F,185944,3312418,0.757,175.26,127.66,0.000188928118163,2.887623301263623e-05,0.0002116860460153,0.0003426902580365,0.0005543763040518,32
HPF-H-F,185938,6527854,2.543,320.37,280.36,0.0001169248913244,2.8746380424845704e-05,0.0001300550757106,0.0002130404345521,0.0003430955102627,32
HPF-H-F,185944,6022322,3.292,298.51,269.01,0.0001364448107297,2.864513518198161e-05,0.0001508851170968,0.0002494881603954,0.0004003732774923,32
HPF-H-F,185944,5804998,2.931,288.93,258.78,0.0001244697465053,2.855206093806741e-05,0.0001369033775781,0.0002283311820247,0.0003652345596028,32
HPF-H-F,185944,6904190,37.579,342.04,336.49,0.0011371811129161,2.8944078842671008e-05,0.0012789106959055,0.0020579470918375,0.003336857787743,32
HPF-H-F,188321,3564218,6.591,186.61,179.84,0.0002135736794164,2.868267999367293e-05,0.0002366795593434,0.0003900148056289,0.0006266943649724,32
HPF-H-F,188321,4030834,4.97,208.04,196.81,0.0001704530911692,2.8655811058888696e-05,0.0001886052350507,0.0003115593546113,0.000500164589662,32
HPF-H-F,188321,3663790,7.696,191.16,185.05,0.0002479748899649,2.867442508398006e-05,0.0002746698589023,0.0004529688024734,0.0007276386613758,32
HPF-H-F,188321,3474670,6.379,182.46,155.14,0.000363411132917,2.873231530195968e-05,0.0004038636283684,0.0006625023666815,0.00106636599505,32
HPF-H-F,188319,3771804,3.295,196.05,182.97,0.0001214628559021,2.860565748752833e-05,0.000134011045542,0.0002224003229156,0.0003564113684576,32
HPF-H-F,187128,3547450,0.702,185.23,152.33,4.4455418502982805e-05,2.8827568730210147e-05,4.968575113745155e-05,8.076084857669485e-05,0.0001304465997141,32
HPF-H-F,188321,3664954,5.976,191.51,183.44,0.0001958248110066,2.860326992272073e-05,0.0002160188050371,0.0003585946300781,0.0005746134351152,32
HPF-H-F,188321,3595928,5.665,188.07,180.05,0.0001875457135621,2.865266203196401e-05,0.0002074814090405,0.0003428384720669,0.0005503198811075,32
HPF-H-F,32736,444134,0.061,89.56,89.56,8.810017991887494e-06,2.860954937309639e-05,9.741600848829636e-06,1.6109846042510868e-05,2.5851446891340502e-05,32
HPF-H-F,188321,3851734,7.491,199.94,193.08,0.0002410604876681,2.853342967327137e-05,0.0002648354340904,0.0004425141309494,0.0007073495650398,32
HPF-H-F,188265,3739682,4.238,194.5,183.77,0.0001490833675785,2.897450766087143e-05,0.0001679623677031,0.0002694965299845,0.0004374588976877,32
HPF-H-F,188311,4121590,4.583,212.04,199.89,0.0001588346305347,2.862934336855872e-05,0.0001754822081634,0.0002905900540674,0.0004660722622308,32
HPF-H-F,188321,3473044,8.215,182.49,158.43,0.0004130064617134,2.8782789929256883e-05,0.0004602961257366,0.0007515986309593,0.0012118947566959,32
HPF-H-F,188321,3793452,7.54,197.16,190.39,0.0002415644291986,2.859713468422797e-05,0.0002663778408798,0.0004424504518677,0.0007088282927476,32
HPF-H-F,188321,3504376,7.251,183.95,177.73,0.000233334629137,2.8645335557116308e-05,0.0002580213286391,0.0004266580645928,0.0006846793932319,32
HPF-H-F,188321,3738814,7.146,194.57,187.92,0.000230547420862,2.8650916597043856e-05,0.0002550212184612,0.0004214796027445,0.0006765008212057,32
HPF-H-F,188321,3480250,5.992,182.71,154.36,0.0003515072477527,2.869645415474537e-05,0.0003898336371444,0.0006416025024377,0.0010314361395822,32
HPF-H-F,188321,4000072,8.189,206.64,199.49,0.0002618095215928,2.8615496635574336e-05,0.0002890056525932,0.0004792282998614,0.0007682339524546,32
HPF-H-F,188315,3543916,4.978,185.8,177.06,0.0001666968031315,2.8527739532617425e-05,0.000183081275076,0.000306061148592,0.000489142423668,32
HPF-H-F,73596,1117992,0.007,91.37,91.37,2.353317127847657e-05,2.8835778768652244e-05,2.6322449669061165e-05,4.273149869410418e-05,6.905394836316535e-05,32
HPF-H-F,188321,3647188,6.835,190.38,183.6,0.0002211768141091,2.8552504191393013e-05,0.0002432638337775,0.0004057405915031,0.0006490044252807,32
HPF-H-F,188321,4310824,20.339,224.48,219.29,0.0006201524666755,2.890000482965604e-05,0.0006957429465939,0.0011239852959089,0.0018197282425028,32
HPF-H-F,192881,7576174,3.704,370.87,331.5,0.0001565374977853,2.8604258845457305e-05,0.0001726931264877,0.0002866386040748,0.0004593317305625,32
HPF-H-F,190120,7476752,1.224,365.28,294.0,8.577629336289455e-05,2.884982206872633e-05,9.597442677948542e-05,0.0001557210061298,0.0002516954329093,32
HPF-H-F,192727,8388798,2.201,406.27,343.17,0.000120124298417,2.875621720030445e-05,0.0001336881022281,0.0002187955049274,0.0003524836071556,32
HPF-H-F,192881,8529240,2.704,413.71,355.86,0.0001339284180919,2.86199750531082e-05,0.0001478881438659,0.0002451012224137,0.0003929893662797,32
HPF-H-F,192881,8192046,3.864,398.43,354.87,0.0001657325722645,2.867864638963777e-05,0.0001836237410655,0.0003026893168654,0.0004863130579309,32
HPF-H-F,192881,8200770,3.673,397.41,352.96,0.0001597521360586,2.863728684377505e-05,0.0001765770070948,0.0002921875135794,0.0004687645206742,32
HPF-H-F,192859,7474342,2.152,366.03,311.2,0.000111341775631,2.8765734330636984e-05,0.0001239830716863,0.0002027297684194,0.0003267128401058,32
HPF-H-F,192881,7094782,2.545,348.93,304.58,0.0001222952192004,2.862678050893133e-05,0.0001350968761329,0.0002237569158953,0.0003588537920283,32
HPF-H-F,76570,2326702,0.022,89.65,89.65,7.868155927877492e-05,2.886735292826878e-05,8.812175910846015e-05,0.0001427554255801,0.0002308771846886,32
HPF-H-F,192857,9821482,2.39,467.89,394.2,0.0001348050822865,2.8760363115328264e-05,0.0001500608897708,0.000245500893261,0.0003955617830318,32
HPF-H-F,192881,7932216,3.043,387.43,338.56,0.0001394639200179,2.861012579548397e-05,0.000153911862296,0.0002553204599218,0.0004092323222178,32
HPF-H-F,192881,10329030,10.957,493.7,464.17,0.0003865507807319,2.8859354352256785e-05,0.0004326786816982,0.0007015865363865,0.0011342652180848,32
HPF-H-F,192881,7336978,2.868,360.11,315.05,0.0001308183103623,2.8611220262930007e-05,0.0001443816124496,0.0002394816901975,0.0003838633026471,32
